filename,True Initial Fee,Alternative Answer,Alternative Answer.1,Alternative Answer.2,Alternative Answer.3,Alternative Answer.4,What is the initial fee?,What is the initial fee in dollars?,What is the initial franchise fee in dollars?,What is the initial nonrefundable franchise fee in dollars (standard)?,True Initial Fee Modified,Prediction 1,Prediction 2,Prediction 3,Prediction 4
1 McDonald's.pdf-all_items_item_5.txt,"$45,000 ",,,,,,"$45,000","$45,000","$45,000","$22,500","$45,000","$45,000","$45,000","$45,000","$22,500"
3 KFC.pdf-all_items_item_5.txt,"$45,000 ",,,,,,"$45,000","$3,000","$45,000","$45,000","$45,000","$45,000","$3,000","$45,000","$45,000"
4 Burger King.pdf-all_items_item_5.txt,"$50,000 ","$25,000 (conditional FSS)","$15,000 (shorter period)",,,,"$25,000","$25,000","$25,000","$50,000","$50,000","$25,000","$25,000","$25,000","$50,000"
5 Ace Hardware.pdf-all_items_item_5.txt,"$5,000 ",,,,,,"$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000"
6 Chick-fil-A.pdf-all_items_item_5.txt,$0 ,,,,,,we do not refund,we do not refund,license payment,license payment,$0,$0,$0,$0,$0
7 Subway.pdf-all_items_item_5.txt,"$15,000 ","$7,500(conditions)",$5000 (satellite franchise fee),$1000 (short term satellite fee),,,"$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000"
8 Domino's.pdf-all_items_item_5.txt,"$10,000 ",$1500 (exisitng store transfer),,,,,franchise application processing fee,"$88,950 to $196,500","$88,950 to $196,500","$88,950 to $196,500","$10,000",$0,"$88,950","$88,950","$88,950"
9 Circle K.pdf-all_items_item_5.txt,"$25,000 ","$15,000 per store(2-5 stores)","$10,000 per store(6-9store)","$7,500(10-19 stores)","$5,000 (20 stores)",,"$25,000","$25,000","$25,000","$60,000 to $100,000","$25,000","$25,000","$25,000","$25,000","$60,000"
10 Taco Bell.pdf-all_items_item_5.txt,"$22,500 ",,,,,,"$22,500","$22,500","$22,500","$25,000","$22,500","$22,500","$22,500","$22,500","$25,000"
11 Wendy's.pdf-all_items_item_5.txt,"$50,000 ",,,,,,"$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000"
12 Pizza Hut.pdf-all_items_item_5.txt,"$25,000 ",,,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
13 REMAX.pdf-all_items_item_5.txt,"$35,000(high density)","$17,500(low density)","$25,000(commercial)",,,,"
nonrefundable","$1,000","$25,000","$1,000","$35,000",$0,"$1,000","$25,000","$1,000"
14 Dunkin'.pdf-all_items_item_5.txt,"$90,000( Type1)","$80,000(type 2)","$70,000(type3)","$60,000(type 4)","$50,000(type 5)","$40,000(type 6)","$4,000 per person","$45,000","$22,500","$10,000","$90,000","$4,000","$45,000","$22,500","$10,000"
15 Keller Williams.pdf-all_items_item_5.txt,"$35,000 ",,,,,,"$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000"
16 Tim Hortons.pdf-all_items_item_5.txt,"$50,000(STANDARD)","$25,000(NON STANDARD)",,,,,"($25,000","($25,000","($25,000","$50,000","$50,000","$25,000","$25,000","$25,000","$50,000"
17 Panera Bread.pdf-all_items_item_5.txt,"$35,000 ",,,,,,thirty-five thousand dollars,thirty-five thousand dollars,"thirty-five thousand dollars ($35,000",thirty-five thousand dollars,"$35,000",$0,$0,"$35,000",$0
18 Popeyes Louisiana Kitchen.pdf-all_items_item_5.txt,"$50,000 ",,,,,,"$50,000","$50,000","$50,000","$50,000 to
$27,500","$50,000","$50,000","$50,000","$50,000","$50,000"
19 Dairy Queen.pdf-all_items_item_5.txt,"$45,000 ",,,,,,"$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000","$45,000"
20 Sonic Drive-In.pdf-all_items_item_5.txt,"$45,000(traditional)","$22,500(non traditional)",,,,,"up to $30,000","$30,000","$30,000","$10,000","$45,000","$30,000","$30,000","$30,000","$10,000"
21 Little Caesars.pdf-all_items_item_5.txt,"$20,000 ",,,,,,"$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000"
22 Papa John's.pdf-all_items_item_5.txt,"$5,000-$25,000","$5,000 (min)","$25,000 (max)",,,,"$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000"
23 Arby's.PDF-all_items_item_5.txt," $37,500(standard)","$18,750 (non standard)",,,,,"$12,500","$12,500","$37,500","$37,500","$37,500","$12,500","$12,500","$37,500","$37,500"
24 Applebees.pdf-all_items_item_5.txt,"$35,000 ",,,,,,"$35,000","$35,000","$35,000","$15,000","$35,000","$35,000","$35,000","$35,000","$15,000"
25 Express Employment Professionals.pdf-all_items_item_5.txt,"$40,000 ",,,,,,"$40,000","$40,000","$40,000","$25,000","$40,000","$40,000","$40,000","$40,000","$25,000"
26 Chili's.pdf-all_items_item_5.txt,"$60,000 ","$40,000 (UDP)",,,,,without interest,"$40,000 to $500,000","$60,000","$60,000","$60,000",$0,"$40,000","$60,000","$60,000"
27 Jack In The Box.pdf-all_items_item_5.txt,"$50,000 ","$25,000 (Non-Traditional)",,,,,"$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000","$50,000"
28 Buffalo Wild Wings.pdf-all_items_item_5.txt,"$30,000 ","$45,000(20 year agreement)",,,,,"$5,000","$5,000","$15,000",uniform,"$30,000","$5,000","$5,000","$15,000",$0
29 Planet Fitness.pdf-all_items_item_5.txt,"$20,000 ",,,,,,"$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000"
30 Berkshire Hathaway.pdf-all_items_item_5.txt,"$25,000 ",,,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
31 The UPS Store.pdf-all_items_item_5.txt,"$29,950 ","$19,950(under conditons)","$9,950 (Rural Area)",,,,"$7,500","$7,500","$29,950","$29,950","$29,950","$7,500","$7,500","$29,950","$29,950"
32 Servpro.pdf-all_items_item_5.txt,"$90,000 ",,,,,,"$90,000","$90,000","$90,000","$90,000","$90,000","$90,000","$90,000","$90,000","$90,000"
33 IHOP.pdf-all_items_item_5.txt,"$50,000(single)","$40,000(MULTI)","$0 TO $300,000(IHOP)",,,,"$50,000","between $0 and $55,000","$0
to $300,000","between $0 and $55,000","$50,000","$50,000",$0,$0,$0
35 Five Guys.pdf-all_items_item_5.txt,"$25,000 ",,,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
36 Denny's.pdf-all_items_item_5.txt,"$30,000 ","$10,000(10 YEAR AGREEME)",,,,,"$30,000","$30,000","$30,000","$30,000","$30,000","$30,000","$30,000","$30,000","$30,000"
37 Culver's.pdf-all_items_item_5.txt,"$55,000 ","$30,000(mentoring program)","$45,000(veteran discount)",,,,"$55,000","$55,000","$55,000","$45,000","$55,000","$55,000","$55,000","$55,000","$45,000"
38 Wingstop.pdf-all_items_item_5.txt,"$20,000 ","$5,000(veteran)",,,,,"$5,000","$20,000","$20,000","$20,000","$20,000","$5,000","$20,000","$20,000","$20,000"
39 Jersey Mikes.pdf-all_items_item_5.txt,"$18,500 ",,,,,,"$8,500","$18,500","$25,500","$5,000","$18,500","$8,500","$18,500","$25,500","$5,000"
40 Paris Baguette.pdf-all_items_item_5.txt,"$50,000 ","$40,000(multiple stores)",,,,,fifty thousand dollars,fifty thousand dollars,fifty thousand dollars,fifty thousand dollars,"$50,000",$0,$0,$0,$0
41 Hardee's.pdf-all_items_item_5.txt,"$25,000 ","$15,000(development agreem)",,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
42 Jimmy John's.pdf-all_items_item_5.txt,"$35,000 ",,,,,,a transfer,"$1,500","$25,000","$35,000","$35,000",$0,"$1,500","$25,000","$35,000"
43 Vavoline Instant Oil Change.pdf-all_items_item_5.txt,"$30,000(first center)","$20,000(second center)","$5,000(second center conversion)","$5,000(thrid and beyond)",,,"$30,000","$30,000","$30,000","$5,000","$30,000","$30,000","$30,000","$30,000","$5,000"
44 Home Instead.pdf-all_items_item_5.txt,"$54,000 ",,,,,,"$54,000","$54,000","$54,000","$54,000","$54,000","$54,000","$54,000","$54,000","$54,000"
45 Zaxbys.pdf-all_items_item_5.txt,"$35,000 ",,,,,,"$35,000","$35,000","$35,000","$7,000","$35,000","$35,000","$35,000","$35,000","$7,000"
46 Carl's Jr..pdf-all_items_item_5.txt,"$25,000 ",,,,,,"$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000","$25,000"
47 Baskin Robbins.pdf-all_items_item_5.txt,"$25,000 ","$12,500 (gas station for 10 years)","$6,250 at SDO location","$10,000 (Combo)",,,"$12,500","$12,500","$12,500","$6,000","$25,000","$12,500","$12,500","$12,500","$6,000"
49 Snap-On Tools.pdf-all_items_item_5.txt,"$8,000 --$16,000","$16,000(max)","$8,000 (min)",,,,"$8,000 to $16,000","$2,800","$8,000 to $16,000","$8,000 to $16,000","$8,000","$8,000","$2,800","$8,000","$8,000"
50 Anytime Fitness.pdf-all_items_item_5.txt,"$42,500 ",,,,,,"$42,500","$42,500","$42,500","$42,500","$42,500","$42,500","$42,500","$42,500","$42,500"
51 Jiffy Lube.pdf-all_items_item_5.txt,"$35,000 (new center)","$17,500 (converted center)",,,,,"$17,500","$35,000","$35,000","$10,000","$35,000","$17,500","$35,000","$35,000","$10,000"
52 Midas.pdf-all_items_item_5.txt,"$35,000 (new center)","$17,500 (converted center)",,,,,"$35,000","($35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000"
54 Homevesters.pdf-all_items_item_5.txt,"$85,000 (Full)","$39,000(associate)","$76,500(veteran -full franchise)","$35,100(veteran associate)","$68,000 Multi full franchise","$31,200 Multi associate","$85,000","$85,000","$85,000","$85,000","$85,000","$85,000","$85,000","$85,000","$85,000"
